customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_group,avg_monthly_spend,revenue
9798-dryds,female,0,yes,yes,17,yes,yes,dsl,no,no,yes,yes,no,no,one year,yes,mailed check,61.95,1070.7,no,12-24,59.483333333333334,61.95
8532-uefwh,male,0,yes,yes,52,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.75,1345.85,no,48+,25.393396226415092,25.75
6296-ddoor,female,0,no,no,19,yes,no,dsl,no,yes,no,no,yes,no,one year,no,electronic check,58.2,1045.25,no,12-24,52.2625,58.2
7951-vrdvk,female,0,no,no,36,yes,no,dsl,yes,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),85.85,3003.55,no,24-48,81.17702702702704,85.85
5931-fljjf,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.1,467.55,yes,6-12,58.44375,70.1
4815-yosuk,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),104.9,7537.5,no,48+,103.25342465753425,104.9
2659-vxmwz,male,0,yes,yes,67,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,electronic check,111.3,7482.1,yes,48+,110.03088235294118,111.3
0380-neavx,male,1,no,no,34,yes,no,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,99.85,3343.15,no,24-48,95.51857142857143,99.85
3207-oybwh,male,1,yes,no,57,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),95.25,5427.05,yes,48+,93.5698275862069,95.25
4285-gyrqc,female,0,yes,no,7,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,86.25,587.1,yes,6-12,73.3875,86.25
7216-ewtrs,female,1,yes,no,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.8,100.8,yes,0-6,50.4,100.8
4365-msdyn,male,0,yes,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),19.55,161.15,no,6-12,17.905555555555555,19.55
7036-tydec,female,0,no,no,69,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,no,electronic check,104.0,7028.5,no,48+,100.40714285714286,104.0
5802-adbrc,female,0,yes,no,50,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,mailed check,104.4,5232.9,no,48+,102.60588235294117,104.4
8076-fezkj,male,0,no,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.5,225.85,no,6-12,20.53181818181818,19.5
5197-ypybz,female,0,yes,yes,12,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.25,274.7,no,6-12,21.13076923076923,25.25
8337-mssxb,female,0,no,no,14,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,86.3,1180.95,yes,12-24,78.73,86.3
4312-gvynh,female,0,yes,no,70,no,no phone service,dsl,yes,no,yes,yes,no,yes,two year,yes,bank transfer (automatic),49.85,3370.2,no,48+,47.46760563380281,49.85
8495-ljdfo,female,1,no,no,64,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),108.95,7111.3,no,48+,109.40461538461538,108.95
0839-jtcud,female,0,yes,yes,66,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),89.9,5958.85,no,48+,88.93805970149255,89.9
5494-wozrz,female,0,yes,yes,71,yes,no,dsl,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),82.0,5999.85,no,48+,83.33125000000001,82.0
1302-uhbdd,male,1,no,no,20,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,89.95,1648.45,no,12-24,78.49761904761905,89.95
2234-eofpt,male,0,yes,no,72,yes,no,dsl,yes,yes,no,yes,yes,yes,two year,yes,bank transfer (automatic),79.35,5753.25,no,48+,78.81164383561644,79.35
8619-ijndk,female,0,yes,yes,71,yes,no,dsl,yes,yes,yes,yes,no,no,two year,no,credit card (automatic),64.05,4492.9,no,48+,62.40138888888888,64.05
8378-lkjaf,male,0,yes,yes,38,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),101.15,3956.7,no,24-48,101.45384615384614,101.15
8182-bjdsi,female,0,no,no,28,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,89.95,2625.55,yes,24-48,90.53620689655173,89.95
2528-hfyzx,male,1,yes,no,17,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,76.45,1233.4,yes,12-24,68.52222222222223,76.45
1153-gnolc,male,0,no,no,33,no,no phone service,dsl,no,yes,no,no,yes,no,one year,yes,electronic check,39.1,1309.0,no,24-48,38.5,39.1
3298-qeica,female,0,yes,yes,23,no,no phone service,dsl,yes,no,no,yes,no,no,two year,no,mailed check,34.6,813.45,no,12-24,33.893750000000004,34.6
0788-dxbfy,male,0,yes,yes,58,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,19.55,1108.8,no,48+,18.79322033898305,19.55
3597-yaszg,female,1,yes,no,70,yes,yes,fiber optic,no,yes,no,yes,yes,yes,two year,yes,bank transfer (automatic),104.45,7349.35,no,48+,103.51197183098591,104.45
3496-lfszu,male,0,yes,no,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.5,294.2,no,0-6,58.839999999999996,70.5
5242-uowhd,male,0,yes,yes,45,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.35,929.2,no,24-48,20.2,20.35
2482-czgbb,male,0,no,no,10,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.0,740.0,yes,6-12,67.27272727272727,70.0
6479-szplm,male,0,yes,yes,36,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.45,754.5,no,24-48,20.39189189189189,19.45
8097-vbqtz,male,0,no,no,54,yes,no,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,mailed check,69.9,3883.3,no,48+,70.60545454545455,69.9
4500-hkann,male,0,yes,yes,23,yes,yes,dsl,no,yes,no,yes,no,no,two year,no,mailed check,59.7,1414.2,no,12-24,58.925000000000004,59.7
9917-kwrbe,female,0,yes,yes,41,yes,yes,dsl,yes,yes,yes,no,yes,no,one year,yes,credit card (automatic),78.35,3211.2,no,24-48,76.45714285714286,78.35
3420-zdbma,male,1,no,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,71.45,371.6,no,0-6,61.93333333333334,71.45
2212-lyask,male,0,yes,yes,27,no,no phone service,dsl,no,yes,yes,no,no,yes,one year,yes,credit card (automatic),45.85,1246.4,no,24-48,44.51428571428572,45.85
1393-imkzg,female,0,no,no,1,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,95.85,95.85,no,0-6,47.925,95.85
8069-rhuxk,female,0,yes,yes,67,no,no phone service,dsl,yes,no,no,yes,no,no,two year,no,credit card (automatic),35.7,2545.7,no,48+,37.436764705882354,35.7
3398-gcpmu,female,1,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),89.55,6448.85,no,48+,88.34041095890412,89.55
2908-wgaxl,female,0,yes,yes,56,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),24.95,1468.9,no,48+,25.770175438596493,24.95
3378-ajrao,male,0,yes,yes,44,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,24.85,1013.6,no,24-48,22.524444444444445,24.85
1013-qcwam,female,1,yes,no,66,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.8,6690.75,no,48+,99.86194029850746,100.8
0866-qlsir,female,0,no,no,34,yes,yes,dsl,yes,yes,no,yes,no,no,one year,yes,mailed check,64.4,2088.75,yes,24-48,59.67857142857143,64.4
6050-ffxes,female,0,yes,no,69,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,no,bank transfer (automatic),105.35,7240.65,no,48+,103.43785714285714,105.35
7181-bqybv,female,0,yes,yes,1,yes,yes,fiber optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,102.45,102.45,yes,0-6,51.225,102.45
0362-raoqo,female,0,no,no,40,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.65,830.25,no,24-48,20.25,19.65
9554-dfkic,male,0,yes,yes,30,yes,yes,dsl,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),54.45,1588.7,no,24-48,51.248387096774195,54.45
5527-achso,female,0,no,no,11,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,no,mailed check,70.5,829.3,no,6-12,69.10833333333333,70.5
0829-ddvlk,female,0,no,no,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),20.1,302.45,no,12-24,18.903125,20.1
1399-ubqiu,male,0,no,no,11,yes,no,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,69.35,712.25,no,6-12,59.354166666666664,69.35
1813-jlkwr,female,0,yes,yes,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.8,1336.65,no,48+,20.563846153846157,19.8
0336-pikei,male,1,yes,no,72,yes,no,dsl,yes,yes,yes,yes,yes,no,two year,no,bank transfer (automatic),74.4,5360.75,no,48+,73.43493150684931,74.4
7322-ocwhc,male,1,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,bank transfer (automatic),93.05,6735.05,no,48+,92.26095890410959,93.05
9537-vhdta,female,0,no,yes,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,51.2,51.2,no,0-6,25.6,51.2
4957-tialw,female,0,no,yes,15,yes,no,dsl,yes,yes,yes,yes,no,no,one year,no,credit card (automatic),65.6,1010.0,no,12-24,63.125,65.6
2054-pjock,female,0,no,no,60,yes,yes,dsl,no,no,yes,yes,yes,yes,one year,no,credit card (automatic),80.55,4847.05,no,48+,79.45983606557377,80.55
9150-hepmb,male,0,no,no,56,yes,no,dsl,yes,no,yes,no,no,no,one year,no,mailed check,52.7,3019.7,no,48+,52.97719298245614,52.7
9030-qgznl,female,0,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.85,161.65,no,6-12,17.961111111111112,20.85
6204-ieuxj,female,0,no,no,3,yes,no,fiber optic,no,no,yes,yes,no,no,month-to-month,no,credit card (automatic),80.1,217.55,yes,0-6,54.3875,80.1
3126-wqmgh,female,0,yes,no,49,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),52.15,2583.75,no,48+,51.675,52.15
4529-ckbcl,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.2,146.05,yes,0-6,48.68333333333334,80.2
2506-clakw,female,0,no,no,6,yes,no,fiber optic,yes,yes,yes,yes,no,yes,month-to-month,yes,bank transfer (automatic),98.15,567.45,yes,0-6,81.06428571428572,98.15
7176-wrtnx,male,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),114.95,7711.25,no,48+,108.60915492957747,114.95
1583-ihqze,male,0,no,no,12,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,mailed check,112.95,1384.75,yes,6-12,106.51923076923077,112.95
5732-ikgqh,male,1,yes,no,52,yes,no,fiber optic,yes,no,yes,yes,yes,yes,one year,yes,bank transfer (automatic),104.45,5481.25,no,48+,103.41981132075472,104.45
9239-gzhze,female,0,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),113.65,8124.2,no,48+,111.2904109589041,113.65
7205-baiad,female,0,no,no,40,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.6,827.3,no,24-48,20.178048780487803,20.6
0151-ontov,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.9,70.9,yes,0-6,35.45,70.9
4140-muhug,female,1,no,no,3,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,86.85,220.95,yes,0-6,55.2375,86.85
0093-exyql,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3673.6,no,24-48,89.6,91.55
8064-ravoh,male,0,no,yes,1,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,electronic check,49.85,49.85,no,0-6,24.925,49.85
0219-qaerp,male,0,yes,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.8,576.65,no,24-48,18.601612903225806,19.8
0320-jdnqg,male,0,yes,yes,23,yes,no,fiber optic,yes,no,no,yes,yes,yes,month-to-month,yes,electronic check,99.85,2331.3,yes,12-24,97.1375,99.85
7180-pisog,male,0,yes,yes,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.5,74.5,yes,0-6,37.25,74.5
9168-inpsz,female,1,yes,no,44,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,no,electronic check,104.15,4495.65,no,24-48,99.90333333333332,104.15
3571-rfhar,male,0,no,no,65,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,109.15,6941.2,yes,48+,105.16969696969697,109.15
0015-uocoj,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,48.2,340.35,no,6-12,42.54375,48.2
5334-afqjb,male,1,no,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.1,1789.9,no,48+,24.519178082191782,25.1
2754-sdjrd,female,1,no,no,8,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),100.15,908.55,no,6-12,100.94999999999999,100.15
9578-vrmnm,female,0,no,no,16,yes,yes,dsl,no,no,yes,no,no,yes,month-to-month,yes,credit card (automatic),65.2,1043.35,yes,12-24,61.3735294117647,65.2
1587-fklzb,male,1,yes,yes,66,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),99.5,6822.15,yes,48+,101.82313432835821,99.5
6140-qnrqq,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,71.55,71.55,yes,0-6,35.775,71.55
8963-jlgjt,male,0,no,yes,3,yes,no,dsl,yes,no,yes,no,no,no,month-to-month,no,mailed check,55.9,157.55,no,0-6,39.3875,55.9
4307-ktumw,male,0,yes,no,53,yes,yes,fiber optic,yes,no,yes,no,no,yes,month-to-month,no,electronic check,93.9,5029.2,yes,48+,93.13333333333333,93.9
1465-lntlj,male,1,yes,no,8,yes,no,dsl,no,no,yes,yes,no,yes,month-to-month,yes,credit card (automatic),64.4,581.7,no,6-12,64.63333333333334,64.4
5440-flbqg,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),108.4,7318.2,yes,48+,104.54571428571428,108.4
2135-dqwaq,female,0,no,no,5,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,mailed check,85.3,420.45,no,0-6,70.075,85.3
4056-qhxhz,female,0,yes,yes,72,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,no,mailed check,107.45,7576.7,no,48+,103.7904109589041,107.45
7470-mcqtk,female,0,yes,no,13,no,no phone service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),48.75,633.4,yes,12-24,45.24285714285714,48.75
7488-mxjiv,female,0,no,no,4,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.65,321.65,yes,0-6,64.33,85.65
7401-jixnm,female,0,yes,yes,54,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),91.3,4965.0,no,48+,90.27272727272727,91.3
9339-fiijl,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),85.95,6151.9,no,48+,84.27260273972603,85.95
2027-feczv,male,0,no,no,12,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.7,1253.9,yes,6-12,96.45384615384616,106.7
2672-dzuoy,male,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.15,25.15,yes,0-6,12.575,25.15
4706-dgahw,male,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,45.2,45.2,no,0-6,22.6,45.2
3870-mqamg,female,0,yes,no,54,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,no,electronic check,110.35,5893.15,yes,48+,107.14818181818181,110.35
6670-mfrpk,male,0,yes,yes,69,yes,yes,fiber optic,no,no,yes,no,no,no,two year,yes,credit card (automatic),79.2,5420.65,no,48+,77.43785714285714,79.2
6177-pevra,female,0,no,no,48,yes,no,dsl,yes,yes,no,no,no,no,two year,no,credit card (automatic),55.5,2627.35,no,24-48,53.61938775510204,55.5
4800-czmpc,female,0,yes,yes,48,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,credit card (automatic),103.25,5037.55,yes,24-48,102.80714285714286,103.25
4813-hqmgz,female,0,yes,no,8,yes,yes,fiber optic,no,no,no,yes,no,yes,month-to-month,yes,electronic check,90.25,743.75,no,6-12,82.63888888888889,90.25
7579-kkloe,male,0,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,mailed check,91.25,6589.6,no,48+,91.52222222222223,91.25
7377-dmmri,male,0,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,47.8,92.45,yes,0-6,30.816666666666666,47.8
8402-eivqs,male,0,yes,no,67,yes,no,fiber optic,yes,yes,no,no,yes,yes,one year,yes,credit card (automatic),100.9,6733.15,no,48+,99.01691176470588,100.9
4947-dsmxk,male,0,yes,yes,34,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),97.7,3410.0,no,24-48,97.42857142857143,97.7
7245-niiwq,female,0,no,no,3,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.85,199.85,no,0-6,49.9625,69.85
0002-orfbo,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,65.6,593.3,no,6-12,59.33,65.6
3324-oirto,male,0,yes,yes,71,yes,no,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),104.65,7288.4,no,48+,101.22777777777777,104.65
5414-ofqcb,male,0,no,no,57,yes,yes,fiber optic,no,no,no,yes,yes,no,two year,yes,credit card (automatic),90.45,5229.8,no,48+,90.16896551724139,90.45
4967-wpncf,male,0,no,no,72,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),63.7,4464.8,no,48+,61.16164383561644,63.7
8552-obvru,female,1,yes,yes,48,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.5,5068.05,no,24-48,103.4295918367347,104.5
8499-brxtd,male,0,no,no,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.1,401.85,no,12-24,21.150000000000002,20.1
9154-qdgth,male,0,yes,yes,43,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,credit card (automatic),104.3,4451.85,no,24-48,101.1784090909091,104.3
8197-bfwvu,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),93.25,6688.95,no,48+,91.62945205479451,93.25
2577-gvsil,male,0,yes,yes,35,yes,yes,dsl,no,no,no,yes,yes,yes,one year,yes,bank transfer (automatic),73.45,2661.1,no,24-48,73.91944444444444,73.45
9367-oiuxp,male,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.7,73.05,no,0-6,14.61,20.7
6770-uaygj,female,0,yes,yes,49,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.25,1211.65,no,48+,24.233,25.25
6463-hhxjr,female,0,yes,yes,71,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,no,bank transfer (automatic),100.5,7030.65,no,48+,97.64791666666666,100.5
7928-vjyab,male,0,yes,yes,11,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,90.6,1020.2,no,6-12,85.01666666666667,90.6
1187-wilmm,male,0,yes,yes,63,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),89.4,5597.65,no,48+,87.46328125,89.4
9776-ojuzi,female,1,no,no,65,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),95.45,6223.3,no,48+,94.29242424242425,95.45
1306-rpwxz,female,0,no,yes,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.45,1024.65,no,48+,20.493000000000002,20.45
8949-jtmay,female,0,no,no,29,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),98.6,2933.2,yes,24-48,97.77333333333333,98.6
2774-lvqus,female,1,yes,no,15,yes,yes,fiber optic,no,no,yes,yes,no,no,month-to-month,yes,electronic check,83.05,1258.3,yes,12-24,78.64375,83.05
3097-pywxl,female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.95,82.9,no,0-6,16.580000000000002,19.95
2266-sjnat,female,0,yes,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,no,credit card (automatic),109.15,7789.6,no,48+,106.7068493150685,109.15
0869-paprp,female,1,yes,no,26,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card (automatic),85.7,2067.0,no,24-48,76.55555555555556,85.7
4238-jsswh,female,1,yes,no,35,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),102.05,3452.55,no,24-48,95.90416666666667,102.05
2972-ydyuw,female,0,no,no,57,yes,yes,fiber optic,no,yes,no,yes,no,yes,one year,no,electronic check,94.7,5468.95,no,48+,94.29224137931034,94.7
1104-fejam,male,0,yes,yes,28,yes,yes,dsl,no,yes,no,no,no,yes,month-to-month,no,electronic check,64.4,1802.15,no,24-48,62.143103448275866,64.4
2809-ilcyt,female,0,yes,no,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,26.8,733.55,no,24-48,28.213461538461537,26.8
5499-ecutn,female,0,yes,no,47,yes,no,dsl,yes,no,yes,no,yes,no,one year,yes,credit card (automatic),66.05,3021.45,no,24-48,62.946875,66.05
4981-fltmf,female,0,yes,yes,57,yes,yes,dsl,yes,yes,no,yes,no,no,month-to-month,no,bank transfer (automatic),65.2,3687.85,no,48+,63.58362068965517,65.2
9121-phqsr,male,1,yes,no,16,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,credit card (automatic),85.05,1391.15,no,12-24,81.83235294117648,85.05
3113-iwhlc,male,0,no,no,5,yes,no,dsl,yes,no,yes,no,no,no,month-to-month,yes,mailed check,55.8,274.35,no,0-6,45.725,55.8
3211-iljtt,male,0,yes,no,17,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),70.4,1214.05,yes,12-24,67.44722222222222,70.4
4612-thjbs,female,1,no,no,56,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),104.75,5510.65,yes,48+,96.67807017543859,104.75
4277-bwbml,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.95,1322.85,no,48+,18.121232876712327,19.95
4094-nsedu,female,1,no,no,21,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,94.25,1973.75,yes,12-24,89.7159090909091,94.25
0234-tevtt,female,0,yes,yes,48,no,no phone service,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),45.0,2196.3,no,24-48,44.82244897959184,45.0
4304-tspvk,female,0,yes,no,68,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),114.9,7843.55,no,48+,113.67463768115942,114.9
1552-aagrx,female,0,no,no,30,yes,yes,fiber optic,yes,no,no,yes,yes,yes,month-to-month,no,bank transfer (automatic),106.4,3211.9,no,24-48,103.60967741935484,106.4
2637-fkfsy,female,0,yes,no,3,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,46.1,130.15,no,0-6,32.5375,46.1
9796-mvyxx,female,1,no,no,14,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,no,mailed check,39.7,692.35,no,12-24,46.156666666666666,39.7
7874-ecpqj,female,0,no,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),20.05,85.5,no,0-6,17.1,20.05
0020-inwck,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,credit card (automatic),95.75,6849.4,no,48+,95.13055555555555,95.75
7089-rkvsz,male,0,yes,yes,8,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,24.4,203.95,no,6-12,22.66111111111111,24.4
2683-jxwqq,male,0,yes,yes,61,no,no phone service,dsl,yes,no,yes,no,no,no,month-to-month,no,bank transfer (automatic),33.6,2117.2,no,48+,34.148387096774194,33.6
9548-zmvtx,male,0,yes,yes,72,yes,yes,fiber optic,no,yes,yes,yes,no,no,two year,no,bank transfer (automatic),90.45,6565.85,no,48+,89.94315068493151,90.45
8739-xnikg,female,0,no,no,5,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,84.0,424.75,no,0-6,70.79166666666667,84.0
9755-jhnmn,female,0,no,no,49,yes,no,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),67.4,3306.85,no,48+,66.137,67.4
3981-qsvqi,male,0,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),19.7,168.9,no,6-12,18.766666666666666,19.7
2789-hqbou,male,0,no,no,3,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,80.35,253.8,no,0-6,63.45,80.35
9424-cmpog,male,0,yes,yes,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.6,197.4,no,6-12,19.740000000000002,19.6
5067-wjeun,male,0,yes,yes,67,yes,no,dsl,yes,yes,no,no,no,no,two year,yes,bank transfer (automatic),54.2,3838.2,no,48+,56.44411764705882,54.2
3450-wxoat,male,0,no,no,46,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),45.2,2065.15,no,24-48,43.93936170212766,45.2
9251-wnsod,female,0,yes,no,67,yes,yes,dsl,yes,yes,yes,no,no,yes,one year,no,mailed check,75.1,5064.45,no,48+,74.47720588235293,75.1
